puzzleID, algorithm, difficulty, timeElapsed, guessCount
0, 0 - with algorithms, 1, 225.383000, 45
1, 0 - with algorithms, 1, 199.164000, 42
2, 0 - with algorithms, 1, 205.896000, 44
3, 0 - with algorithms, 1, 240.652000, 51
4, 0 - with algorithms, 1, 387.507000, 50
5, 0 - with algorithms, 1, 227.768000, 49
6, 0 - with algorithms, 1, 217.168000, 47
7, 0 - with algorithms, 1, 221.997000, 48
8, 0 - with algorithms, 1, 216.657000, 46
9, 0 - with algorithms, 1, 228.419000, 50
10, 0 - with algorithms, 1, 231.845000, 49
11, 0 - with algorithms, 1, 212.959000, 46
12, 0 - with algorithms, 1, 225.784000, 49
13, 0 - with algorithms, 1, 216.977000, 47
14, 0 - with algorithms, 1, 232.416000, 51
15, 0 - with algorithms, 1, 229.841000, 50
16, 0 - with algorithms, 1, 222.868000, 49
17, 0 - with algorithms, 1, 239.700000, 49
18, 0 - with algorithms, 1, 227.677000, 50
19, 0 - with algorithms, 1, 211.908000, 46
20, 0 - with algorithms, 1, 235.742000, 52
21, 0 - with algorithms, 1, 230.272000, 50
22, 0 - with algorithms, 1, 231.734000, 50
23, 0 - with algorithms, 1, 223.950000, 49
24, 0 - with algorithms, 1, 211.427000, 46
25, 0 - with algorithms, 1, 158.307000, 47
26, 0 - with algorithms, 1, 167.845000, 50
27, 0 - with algorithms, 1, 156.915000, 48
28, 0 - with algorithms, 1, 189.045000, 48
29, 0 - with algorithms, 1, 164.128000, 51
30, 0 - with algorithms, 1, 161.302000, 50
31, 0 - with algorithms, 1, 160.020000, 48
32, 0 - with algorithms, 1, 169.448000, 53
33, 0 - with algorithms, 1, 153.397000, 47
34, 0 - with algorithms, 1, 159.279000, 49
35, 0 - with algorithms, 1, 156.303000, 48
36, 0 - with algorithms, 1, 156.464000, 48
37, 0 - with algorithms, 1, 155.532000, 48
38, 0 - with algorithms, 1, 160.822000, 47
39, 0 - with algorithms, 1, 155.853000, 48
40, 0 - with algorithms, 1, 154.741000, 48
41, 0 - with algorithms, 1, 164.289000, 51
42, 0 - with algorithms, 1, 155.061000, 48
43, 0 - with algorithms, 1, 163.397000, 50
44, 0 - with algorithms, 1, 155.341000, 48
45, 0 - with algorithms, 1, 169.989000, 51
46, 0 - with algorithms, 1, 235.943000, 49
47, 0 - with algorithms, 1, 151.264000, 46
48, 0 - with algorithms, 1, 163.557000, 51
49, 0 - with algorithms, 1, 156.744000, 48
50, 0 - with algorithms, 1, 153.478000, 47
51, 0 - with algorithms, 1, 168.206000, 49
52, 0 - with algorithms, 1, 301.646000, 50
53, 0 - with algorithms, 1, 225.864000, 49
54, 0 - with algorithms, 1, 206.427000, 42
55, 0 - with algorithms, 1, 234.260000, 51
56, 0 - with algorithms, 1, 213.340000, 46
57, 0 - with algorithms, 1, 221.977000, 48
58, 0 - with algorithms, 1, 219.191000, 48
59, 0 - with algorithms, 1, 247.885000, 53
60, 0 - with algorithms, 1, 218.490000, 47
61, 0 - with algorithms, 1, 238.067000, 52
62, 0 - with algorithms, 1, 231.995000, 51
63, 0 - with algorithms, 1, 224.932000, 49
64, 0 - with algorithms, 1, 285.245000, 50
65, 0 - with algorithms, 1, 437.431000, 53
66, 0 - with algorithms, 1, 231.605000, 51
67, 0 - with algorithms, 1, 230.773000, 51
68, 0 - with algorithms, 1, 225.493000, 49
69, 0 - with algorithms, 1, 224.682000, 49
70, 0 - with algorithms, 1, 231.174000, 51
71, 0 - with algorithms, 1, 162.826000, 50
72, 0 - with algorithms, 1, 167.545000, 52
73, 0 - with algorithms, 1, 166.814000, 52
74, 0 - with algorithms, 1, 180.209000, 55
75, 0 - with algorithms, 1, 147.867000, 45
76, 0 - with algorithms, 1, 164.919000, 51
77, 0 - with algorithms, 1, 146.856000, 44
78, 0 - with algorithms, 1, 162.114000, 50
79, 0 - with algorithms, 1, 164.919000, 48
80, 0 - with algorithms, 1, 529.153000, 48
81, 0 - with algorithms, 1, 163.146000, 50
82, 0 - with algorithms, 1, 172.093000, 54
83, 0 - with algorithms, 1, 165.942000, 51
84, 0 - with algorithms, 1, 207.971000, 50
